~id,name:String,preferred_id:String,~label
GO:0044208,De Novo AMP Biosynthetic Process,biological_process_id,BiologicalProcess
GO:0051084,De Novo Post-Translational Protein Folding,biological_process_id,BiologicalProcess
GO:0006103,2-Oxoglutarate Metabolic Process,biological_process_id,BiologicalProcess
GO:0061158,3-UTR-mediated mRNA Destabilization,biological_process_id,BiologicalProcess
GO:0070935,3-UTR-mediated mRNA Stabilization,biological_process_id,BiologicalProcess
GO:0050427,3-Phosphoadenosine 5-Phosphosulfate Metabolic Process,biological_process_id,BiologicalProcess
GO:0042791,5S Class rRNA Transcription By RNA Polymerase III,biological_process_id,BiologicalProcess
GO:0009452,7-Methylguanosine RNA Capping,biological_process_id,BiologicalProcess
GO:0036261,7-Methylguanosine Cap Hypermethylation,biological_process_id,BiologicalProcess
GO:0006370,7-Methylguanosine mRNA Capping,biological_process_id,BiologicalProcess
GO:0015866,ADP Transport,biological_process_id,BiologicalProcess
GO:0006167,AMP Biosynthetic Process,biological_process_id,BiologicalProcess
GO:0046033,AMP Metabolic Process,biological_process_id,BiologicalProcess
GO:0036500,ATF6-mediated Unfolded Protein Response,biological_process_id,BiologicalProcess
GO:0006754,ATP Biosynthetic Process,biological_process_id,BiologicalProcess
GO:0046034,ATP Metabolic Process,biological_process_id,BiologicalProcess
GO:0042773,ATP Synthesis Coupled Electron Transport,biological_process_id,BiologicalProcess
GO:0015867,ATP Transport,biological_process_id,BiologicalProcess
GO:0086016,AV Node Cell Action Potential,biological_process_id,BiologicalProcess
GO:0086067,AV Node Cell To Bundle Of His Cell Communication,biological_process_id,BiologicalProcess
GO:0034314,Arp2/3 Complex-Mediated Actin Nucleation,biological_process_id,BiologicalProcess
GO:0042113,B Cell Activation,biological_process_id,BiologicalProcess
GO:0002312,B Cell Activation Involved In Immune Response,biological_process_id,BiologicalProcess
GO:0035754,B Cell Chemotaxis,biological_process_id,BiologicalProcess
GO:0030183,B Cell Differentiation,biological_process_id,BiologicalProcess
GO:0001782,B Cell Homeostasis,biological_process_id,BiologicalProcess
GO:0019724,B Cell Mediated Immunity,biological_process_id,BiologicalProcess
GO:0042100,B Cell Proliferation,biological_process_id,BiologicalProcess
GO:0050853,B Cell Receptor Signaling Pathway,biological_process_id,BiologicalProcess
GO:0030509,BMP Signaling Pathway,biological_process_id,BiologicalProcess
GO:0018410,C-terminal Protein Amino Acid Modification,biological_process_id,BiologicalProcess
GO:0035609,C-terminal Protein Deglutamylation,biological_process_id,BiologicalProcess
GO:0006501,C-terminal Protein Lipidation,biological_process_id,BiologicalProcess
GO:0015740,C4-dicarboxylate Transport,biological_process_id,BiologicalProcess
GO:0035710,"CD4-positive, Alpha-Beta T Cell Activation",biological_process_id,BiologicalProcess
GO:0023035,CD40 Signaling Pathway,biological_process_id,BiologicalProcess
GO:0034080,CENP-A Containing Chromatin Assembly,biological_process_id,BiologicalProcess
GO:0048205,COPI Coating Of Golgi Vesicle,biological_process_id,BiologicalProcess
GO:0035964,COPI-coated Vesicle Budding,biological_process_id,BiologicalProcess
GO:0048208,COPII Vesicle Coating,biological_process_id,BiologicalProcess
GO:0090114,COPII-coated Vesicle Budding,biological_process_id,BiologicalProcess
GO:0090110,COPII-coated Vesicle Cargo Loading,biological_process_id,BiologicalProcess
GO:0070934,CRD-mediated mRNA Stabilization,biological_process_id,BiologicalProcess
GO:0032488,Cdc42 Protein Signal Transduction,biological_process_id,BiologicalProcess
GO:0006305,DNA Alkylation,biological_process_id,BiologicalProcess
GO:0071897,DNA Biosynthetic Process,biological_process_id,BiologicalProcess
GO:0006308,DNA Catabolic Process,biological_process_id,BiologicalProcess
GO:0071103,DNA Conformation Change,biological_process_id,BiologicalProcess
GO:0070383,DNA Cytosine Deamination,biological_process_id,BiologicalProcess
GO:0000077,DNA Damage Checkpoint Signaling,biological_process_id,BiologicalProcess
GO:0006974,DNA Damage Response,biological_process_id,BiologicalProcess
GO:0030330,"DNA Damage Response, Signal Transduction By P53 Class Mediator",biological_process_id,BiologicalProcess
GO:0006977,"DNA Damage Response, Signal Transduction By P53 Class Mediator Resulting In Cell Cycle Arrest",biological_process_id,BiologicalProcess
GO:0006978,"DNA Damage Response, Signal Transduction By P53 Class Mediator Resulting In Transcription Of P21 Class Mediator",biological_process_id,BiologicalProcess
GO:0042772,"DNA Damage Response, Signal Transduction Resulting In Transcription",biological_process_id,BiologicalProcess
GO:0035510,DNA Dealkylation,biological_process_id,BiologicalProcess
GO:0006307,DNA Dealkylation Involved In DNA Repair,biological_process_id,BiologicalProcess
GO:0045006,DNA Deamination,biological_process_id,BiologicalProcess
GO:0000729,DNA Double-Strand Break Processing,biological_process_id,BiologicalProcess
GO:0010792,DNA Double-Strand Break Processing Involved In Repair Via Single-Strand Annealing,biological_process_id,BiologicalProcess
GO:0032508,DNA Duplex Unwinding,biological_process_id,BiologicalProcess
GO:0032392,DNA Geometric Change,biological_process_id,BiologicalProcess
GO:0031570,DNA Integrity Checkpoint Signaling,biological_process_id,BiologicalProcess
GO:0006266,DNA Ligation,biological_process_id,BiologicalProcess
GO:0006259,DNA Metabolic Process,biological_process_id,BiologicalProcess
GO:0006306,DNA Methylation,biological_process_id,BiologicalProcess
GO:0043045,DNA Methylation Involved In Embryo Development,biological_process_id,BiologicalProcess
GO:0006346,DNA Methylation-Dependent Heterochromatin Formation,biological_process_id,BiologicalProcess
GO:0006304,DNA Modification,biological_process_id,BiologicalProcess
GO:0006310,DNA Recombination,biological_process_id,BiologicalProcess
GO:0006281,DNA Repair,biological_process_id,BiologicalProcess
GO:0140861,DNA Repair-Dependent Chromatin Remodeling,biological_process_id,BiologicalProcess
GO:0006260,DNA Replication,biological_process_id,BiologicalProcess
GO:0000076,DNA Replication Checkpoint Signaling,biological_process_id,BiologicalProcess
GO:0006270,DNA Replication Initiation,biological_process_id,BiologicalProcess
GO:0006335,DNA Replication-Dependent Chromatin Assembly,biological_process_id,BiologicalProcess
GO:0022616,DNA Strand Elongation,biological_process_id,BiologicalProcess
GO:0006271,DNA Strand Elongation Involved In DNA Replication,biological_process_id,BiologicalProcess
GO:0110025,DNA Strand Resection Involved In Replication Fork Processing,biological_process_id,BiologicalProcess
GO:0000731,DNA Synthesis Involved In DNA Repair,biological_process_id,BiologicalProcess
GO:0006265,DNA Topological Change,biological_process_id,BiologicalProcess
GO:0006268,DNA Unwinding Involved In DNA Replication,biological_process_id,BiologicalProcess
GO:0006261,DNA-templated DNA Replication,biological_process_id,BiologicalProcess
GO:0045005,DNA-templated DNA Replication Maintenance Of Fidelity,biological_process_id,BiologicalProcess
GO:0006351,DNA-templated Transcription,biological_process_id,BiologicalProcess
GO:0006354,DNA-templated Transcription Elongation,biological_process_id,BiologicalProcess
GO:0006352,DNA-templated Transcription Initiation,biological_process_id,BiologicalProcess
GO:0006353,DNA-templated Transcription Termination,biological_process_id,BiologicalProcess
GO:0006983,ER Overload Response,biological_process_id,BiologicalProcess
GO:0071712,ER-associated Misfolded Protein Catabolic Process,biological_process_id,BiologicalProcess
GO:0036503,ERAD Pathway,biological_process_id,BiologicalProcess
GO:0038127,ERBB Signaling Pathway,biological_process_id,BiologicalProcess
GO:0038128,ERBB2 Signaling Pathway,biological_process_id,BiologicalProcess
GO:0038134,ERBB2-EGFR Signaling Pathway,biological_process_id,BiologicalProcess
GO:0070371,ERK1 And ERK2 Cascade,biological_process_id,BiologicalProcess
GO:1904903,ESCRT III Complex Disassembly,biological_process_id,BiologicalProcess
GO:1904896,ESCRT Complex Disassembly,biological_process_id,BiologicalProcess
GO:0002431,Fc Receptor Mediated Stimulatory Signaling Pathway,biological_process_id,BiologicalProcess
GO:0038093,Fc Receptor Signaling Pathway,biological_process_id,BiologicalProcess
GO:0038095,Fc-epsilon Receptor Signaling Pathway,biological_process_id,BiologicalProcess
GO:0038094,Fc-gamma Receptor Signaling Pathway,biological_process_id,BiologicalProcess
GO:0038096,Fc-gamma Receptor Signaling Pathway Involved In Phagocytosis,biological_process_id,BiologicalProcess
GO:0007213,G Protein-Coupled Acetylcholine Receptor Signaling Pathway,biological_process_id,BiologicalProcess
GO:0007216,G Protein-Coupled Glutamate Receptor Signaling Pathway,biological_process_id,BiologicalProcess
GO:0002031,G Protein-Coupled Receptor Internalization,biological_process_id,BiologicalProcess
GO:0007187,"G Protein-Coupled Receptor Signaling Pathway, Coupled To Cyclic Nucleotide Second Messenger",biological_process_id,BiologicalProcess
GO:0098664,G Protein-Coupled Serotonin Receptor Signaling Pathway,biological_process_id,BiologicalProcess
GO:0044806,G-quadruplex DNA Unwinding,biological_process_id,BiologicalProcess
GO:0000082,G1/S Transition Of Mitotic Cell Cycle,biological_process_id,BiologicalProcess
GO:0000086,G2/M Transition Of Mitotic Cell Cycle,biological_process_id,BiologicalProcess
GO:0019673,GDP-mannose Metabolic Process,biological_process_id,BiologicalProcess
GO:0006177,GMP Biosynthetic Process,biological_process_id,BiologicalProcess
GO:0046037,GMP Metabolic Process,biological_process_id,BiologicalProcess
GO:0006506,GPI Anchor Biosynthetic Process,biological_process_id,BiologicalProcess
GO:0006505,GPI Anchor Metabolic Process,biological_process_id,BiologicalProcess
GO:0046039,GTP Metabolic Process,biological_process_id,BiologicalProcess
GO:0090166,Golgi Disassembly,biological_process_id,BiologicalProcess
GO:0048313,Golgi Inheritance,biological_process_id,BiologicalProcess
GO:0061795,Golgi Lumen Acidification,biological_process_id,BiologicalProcess
GO:0007030,Golgi Organization,biological_process_id,BiologicalProcess
GO:0090161,Golgi Ribbon Formation,biological_process_id,BiologicalProcess
GO:0006895,Golgi To Endosome Transport,biological_process_id,BiologicalProcess
GO:0090160,Golgi To Lysosome Transport,biological_process_id,BiologicalProcess
GO:0043001,Golgi To Plasma Membrane Protein Transport,biological_process_id,BiologicalProcess
GO:0006893,Golgi To Plasma Membrane Transport,biological_process_id,BiologicalProcess
GO:0006896,Golgi To Vacuole Transport,biological_process_id,BiologicalProcess
GO:0048200,Golgi Transport Vesicle Coating,biological_process_id,BiologicalProcess
