~id,name:String,preferred_id:String,~label
GO:0003841,1-Acylglycerol-3-Phosphate O-acyltransferase Activity,molecular_function_id,MolecularActivity
GO:0047184,1-Acylglycerophosphocholine O-acyltransferase Activity,molecular_function_id,MolecularActivity
GO:0003847,1-Alkyl-2-Acetylglycerophosphocholine Esterase Activity,molecular_function_id,MolecularActivity
GO:0005545,1-Phosphatidylinositol Binding,molecular_function_id,MolecularActivity
GO:0016303,1-Phosphatidylinositol-3-Kinase Activity,molecular_function_id,MolecularActivity
GO:0046935,1-Phosphatidylinositol-3-Kinase Regulator Activity,molecular_function_id,MolecularActivity
GO:0035005,1-Phosphatidylinositol-4-Phosphate 3-Kinase Activity,molecular_function_id,MolecularActivity
GO:0016308,1-Phosphatidylinositol-4-Phosphate 5-Kinase Activity,molecular_function_id,MolecularActivity
GO:0005502,11-Cis Retinal Binding,molecular_function_id,MolecularActivity
GO:0051537,"2 Iron, 2 Sulfur Cluster Binding",molecular_function_id,MolecularActivity
GO:0047144,2-Acylglycerol-3-Phosphate O-acyltransferase Activity,molecular_function_id,MolecularActivity
GO:0016706,2-Oxoglutarate-Dependent Dioxygenase Activity,molecular_function_id,MolecularActivity
GO:0004115,"3,5-cyclic-AMP Phosphodiesterase Activity",molecular_function_id,MolecularActivity
GO:0047555,"3,5-cyclic-GMP Phosphodiesterase Activity",molecular_function_id,MolecularActivity
GO:0004114,"3,5-Cyclic-Nucleotide Phosphodiesterase Activity",molecular_function_id,MolecularActivity
GO:0043138,3-5 DNA Helicase Activity,molecular_function_id,MolecularActivity
GO:0034458,3-5 RNA Helicase Activity,molecular_function_id,MolecularActivity
GO:0008408,3-5 Exonuclease Activity,molecular_function_id,MolecularActivity
GO:0008296,3-5-DNA Exonuclease Activity,molecular_function_id,MolecularActivity
GO:0000175,3-5-RNA Exonuclease Activity,molecular_function_id,MolecularActivity
GO:0018812,3-hydroxyacyl-CoA Dehydratase Activity,molecular_function_id,MolecularActivity
GO:0003857,3-hydroxyacyl-CoA Dehydrogenase Activity,molecular_function_id,MolecularActivity
GO:0051539,"4 Iron, 4 Sulfur Cluster Binding",molecular_function_id,MolecularActivity
GO:0017083,4-galactosyl-N-acetylglucosaminide 3-alpha-L-fucosyltransferase Activity,molecular_function_id,MolecularActivity
GO:0140933,5-(N(7)-methylguanosine 5-triphospho)-[mRNA] Hydrolase Activity,molecular_function_id,MolecularActivity
GO:0035312,5-3 DNA Exonuclease Activity,molecular_function_id,MolecularActivity
GO:0043139,5-3 DNA Helicase Activity,molecular_function_id,MolecularActivity
GO:0034062,5-3 RNA Polymerase Activity,molecular_function_id,MolecularActivity
GO:0008409,5-3 Exonuclease Activity,molecular_function_id,MolecularActivity
GO:0017108,5-Flap Endonuclease Activity,molecular_function_id,MolecularActivity
GO:0008253,5-Nucleotidase Activity,molecular_function_id,MolecularActivity
GO:0008097,5S rRNA Binding,molecular_function_id,MolecularActivity
GO:0097322,7SK snRNA Binding,molecular_function_id,MolecularActivity
GO:0015431,ABC-type Glutathione S-conjugate Transporter Activity,molecular_function_id,MolecularActivity
GO:0008559,ABC-type Xenobiotic Transporter Activity,molecular_function_id,MolecularActivity
GO:0043531,ADP Binding,molecular_function_id,MolecularActivity
GO:0015217,ADP Transmembrane Transporter Activity,molecular_function_id,MolecularActivity
GO:0160002,ADP-D-ribose Modification-Dependent Protein Binding,molecular_function_id,MolecularActivity
GO:0016208,AMP Binding,molecular_function_id,MolecularActivity
GO:0005524,ATP Binding,molecular_function_id,MolecularActivity
GO:0005347,ATP Transmembrane Transporter Activity,molecular_function_id,MolecularActivity
GO:0015272,ATP-activated Inward Rectifier Potassium Channel Activity,molecular_function_id,MolecularActivity
GO:0035381,ATP-gated Ion Channel Activity,molecular_function_id,MolecularActivity
GO:0044769,"ATPase Activity, Coupled To Transmembrane Movement Of Ions, Rotational Mechanism",molecular_function_id,MolecularActivity
GO:0051117,ATPase Binding,molecular_function_id,MolecularActivity
GO:0051400,BH Domain Binding,molecular_function_id,MolecularActivity
GO:0051434,BH3 Domain Binding,molecular_function_id,MolecularActivity
GO:0036122,BMP Binding,molecular_function_id,MolecularActivity
GO:0098821,BMP Receptor Activity,molecular_function_id,MolecularActivity
GO:0070700,BMP Receptor Binding,molecular_function_id,MolecularActivity
GO:0019957,C-C Chemokine Binding,molecular_function_id,MolecularActivity
GO:0016408,C-acyltransferase Activity,molecular_function_id,MolecularActivity
GO:0070742,C2H2 Zinc Finger Domain Binding,molecular_function_id,MolecularActivity
GO:0055131,C3HC4-type RING Finger Domain Binding,molecular_function_id,MolecularActivity
GO:0015556,C4-dicarboxylate Transmembrane Transporter Activity,molecular_function_id,MolecularActivity
GO:0050700,CARD Domain Binding,molecular_function_id,MolecularActivity
GO:0048020,CCR Chemokine Receptor Binding,molecular_function_id,MolecularActivity
GO:0031731,CCR6 Chemokine Receptor Binding,molecular_function_id,MolecularActivity
GO:0042609,CD4 Receptor Binding,molecular_function_id,MolecularActivity
GO:0017169,CDP-alcohol Phosphatidyltransferase Activity,molecular_function_id,MolecularActivity
GO:0045236,CXCR Chemokine Receptor Binding,molecular_function_id,MolecularActivity
GO:0016421,CoA Carboxylase Activity,molecular_function_id,MolecularActivity
GO:0016289,CoA Hydrolase Activity,molecular_function_id,MolecularActivity
GO:0016405,CoA-ligase Activity,molecular_function_id,MolecularActivity
GO:0055056,D-glucose Transmembrane Transporter Activity,molecular_function_id,MolecularActivity
GO:0017151,DEAD/H-box RNA Helicase Binding,molecular_function_id,MolecularActivity
GO:0019104,DNA N-glycosylase Activity,molecular_function_id,MolecularActivity
GO:0003677,DNA Binding,molecular_function_id,MolecularActivity
GO:0008301,"DNA Binding, Bending",molecular_function_id,MolecularActivity
GO:0004520,DNA Endonuclease Activity,molecular_function_id,MolecularActivity
GO:0016889,"DNA Endonuclease Activity, Producing 3-Phosphomonoesters",molecular_function_id,MolecularActivity
GO:0016895,"DNA Exonuclease Activity, Producing 5-Phosphomonoesters",molecular_function_id,MolecularActivity
GO:0004536,DNA Nuclease Activity,molecular_function_id,MolecularActivity
GO:0034061,DNA Polymerase Activity,molecular_function_id,MolecularActivity
GO:0070182,DNA Polymerase Binding,molecular_function_id,MolecularActivity
GO:0003688,DNA Replication Origin Binding,molecular_function_id,MolecularActivity
GO:0000217,DNA Secondary Structure Binding,molecular_function_id,MolecularActivity
GO:0003906,DNA-(apurinic Or Apyrimidinic Site) Endonuclease Activity,molecular_function_id,MolecularActivity
GO:0001228,"DNA-binding Transcription Activator Activity, RNA Polymerase II-specific",molecular_function_id,MolecularActivity
GO:0140297,DNA-binding Transcription Factor Binding,molecular_function_id,MolecularActivity
GO:0001227,"DNA-binding Transcription Repressor Activity, RNA Polymerase II-specific",molecular_function_id,MolecularActivity
GO:0003899,DNA-directed 5-3 RNA Polymerase Activity,molecular_function_id,MolecularActivity
GO:0003887,DNA-directed DNA Polymerase Activity,molecular_function_id,MolecularActivity
GO:0009008,DNA-methyltransferase Activity,molecular_function_id,MolecularActivity
GO:0070888,E-box Binding,molecular_function_id,MolecularActivity
GO:0071949,FAD Binding,molecular_function_id,MolecularActivity
GO:0010181,FMN Binding,molecular_function_id,MolecularActivity
GO:0016907,G Protein-Coupled Acetylcholine Receptor Activity,molecular_function_id,MolecularActivity
GO:0008227,G Protein-Coupled Amine Receptor Activity,molecular_function_id,MolecularActivity
GO:0001637,G Protein-Coupled Chemoattractant Receptor Activity,molecular_function_id,MolecularActivity
GO:0035256,G Protein-Coupled Glutamate Receptor Binding,molecular_function_id,MolecularActivity
GO:0099528,G Protein-Coupled Neurotransmitter Receptor Activity,molecular_function_id,MolecularActivity
GO:0004985,G Protein-Coupled Opioid Receptor Activity,molecular_function_id,MolecularActivity
GO:0008528,G Protein-Coupled Peptide Receptor Activity,molecular_function_id,MolecularActivity
GO:0008020,G Protein-Coupled Photoreceptor Activity,molecular_function_id,MolecularActivity
GO:0045028,G Protein-Coupled Purinergic Nucleotide Receptor Activity,molecular_function_id,MolecularActivity
GO:0004930,G Protein-Coupled Receptor Activity,molecular_function_id,MolecularActivity
GO:0001664,G Protein-Coupled Receptor Binding,molecular_function_id,MolecularActivity
GO:0004703,G Protein-Coupled Receptor Kinase Activity,molecular_function_id,MolecularActivity
GO:0004993,G Protein-Coupled Serotonin Receptor Activity,molecular_function_id,MolecularActivity
GO:0051880,G-quadruplex DNA Binding,molecular_function_id,MolecularActivity
GO:0002151,G-quadruplex RNA Binding,molecular_function_id,MolecularActivity
GO:0098505,G-rich Strand Telomeric DNA Binding,molecular_function_id,MolecularActivity
GO:0016917,GABA Receptor Activity,molecular_function_id,MolecularActivity
GO:0050811,GABA Receptor Binding,molecular_function_id,MolecularActivity
