~id,ensembl_id:String,preferred_id:String,~label
XRCC5,,gene_id,Gene
XRCC6,,gene_id,Gene
SGIP1,,gene_id,Gene
XRCC4,,gene_id,Gene
PSIP1,,gene_id,Gene
BANF1,,gene_id,Gene
LIG4,,gene_id,Gene
HMGA1,,gene_id,Gene
B3GAT3,,gene_id,Gene
B3GAT2,,gene_id,Gene
B3GAT1,,gene_id,Gene
BGN,,gene_id,Gene
B3GALT6,,gene_id,Gene
DCN,,gene_id,Gene
VCAN,,gene_id,Gene
BCAN,,gene_id,Gene
HSPG2,,gene_id,Gene
SDC1,,gene_id,Gene
SDC2,,gene_id,Gene
CSPG5,,gene_id,Gene
CSPG4,,gene_id,Gene
B4GALT7,,gene_id,Gene
AGRN,,gene_id,Gene
NCAN,,gene_id,Gene
SDC3,,gene_id,Gene
XYLT1,,gene_id,Gene
SDC4,,gene_id,Gene
XYLT2,,gene_id,Gene
GPC2,,gene_id,Gene
GPC1,,gene_id,Gene
GPC4,,gene_id,Gene
GPC3,,gene_id,Gene
GPC6,,gene_id,Gene
GPC5,,gene_id,Gene
ABCG8,,gene_id,Gene
ABCC2,,gene_id,Gene
KCNJ11,,gene_id,Gene
ABCC8,,gene_id,Gene
ABCC9,,gene_id,Gene
ABCC6,,gene_id,Gene
PSMB9,,gene_id,Gene
PSMC6,,gene_id,Gene
ABCA12,,gene_id,Gene
PSMC4,,gene_id,Gene
PSMC5,,gene_id,Gene
APOA1,,gene_id,Gene
PSMC2,,gene_id,Gene
PSMC3,,gene_id,Gene
PSMC1,,gene_id,Gene
RNF185,,gene_id,Gene
ABCG5,,gene_id,Gene
PSMD11,,gene_id,Gene
ABCB4,,gene_id,Gene
PSMD10,,gene_id,Gene
PSMD13,,gene_id,Gene
PSMD12,,gene_id,Gene
PSMD14,,gene_id,Gene
SEL1L,,gene_id,Gene
ABCB6,,gene_id,Gene
RNF5,,gene_id,Gene
PSMB11,,gene_id,Gene
PSMB10,,gene_id,Gene
PSMD9,,gene_id,Gene
PSMD7,,gene_id,Gene
PSMD8,,gene_id,Gene
PSMD5,,gene_id,Gene
PSMD6,,gene_id,Gene
ERLEC1,,gene_id,Gene
PSMD3,,gene_id,Gene
PSMD4,,gene_id,Gene
PSMD2,,gene_id,Gene
RPS27A,,gene_id,Gene
ABCA3,,gene_id,Gene
ABCA1,,gene_id,Gene
ERLIN2,,gene_id,Gene
ERLIN1,,gene_id,Gene
PSMA6,,gene_id,Gene
LMBRD1,,gene_id,Gene
PSMA7,,gene_id,Gene
PSMA4,,gene_id,Gene
ABCB11,,gene_id,Gene
PSMA5,,gene_id,Gene
SEM1,,gene_id,Gene
PSMA2,,gene_id,Gene
PSMA3,,gene_id,Gene
PSME4,,gene_id,Gene
PSMA1,,gene_id,Gene
PSME2,,gene_id,Gene
PSME3,,gene_id,Gene
PSME1,,gene_id,Gene
UBA52,,gene_id,Gene
CFTR,,gene_id,Gene
ABCD4,,gene_id,Gene
VCP,,gene_id,Gene
DERL2,,gene_id,Gene
DERL3,,gene_id,Gene
DERL1,,gene_id,Gene
PSMA8,,gene_id,Gene
PSMB7,,gene_id,Gene
PSMB8,,gene_id,Gene
PSMB5,,gene_id,Gene
PSMB6,,gene_id,Gene
PSMB3,,gene_id,Gene
UBC,,gene_id,Gene
OS9,,gene_id,Gene
PSMB4,,gene_id,Gene
UBB,,gene_id,Gene
PSMB1,,gene_id,Gene
PSMB2,,gene_id,Gene
PSMF1,,gene_id,Gene
ABCD1,,gene_id,Gene
ABCA2,,gene_id,Gene
ABCD3,,gene_id,Gene
PEX19,,gene_id,Gene
ABCA6,,gene_id,Gene
ABCA7,,gene_id,Gene
ABCA5,,gene_id,Gene
PEX3,,gene_id,Gene
ABCA9,,gene_id,Gene
ABCA10,,gene_id,Gene
ABCG1,,gene_id,Gene
ABCG4,,gene_id,Gene
ABCD2,,gene_id,Gene
ABCF1,,gene_id,Gene
ABCA4,,gene_id,Gene
ABCA8,,gene_id,Gene
EIF2S3,,gene_id,Gene
EIF2S2,,gene_id,Gene
EIF2S1,,gene_id,Gene
ABCC4,,gene_id,Gene
ABCC5,,gene_id,Gene
ABCC3,,gene_id,Gene
ABCC10,,gene_id,Gene
ABCC1,,gene_id,Gene
ABCB1,,gene_id,Gene
ABCB7,,gene_id,Gene
ABCB8,,gene_id,Gene
ABCB5,,gene_id,Gene
ABCB9,,gene_id,Gene
ABCB10,,gene_id,Gene
ABCC11,,gene_id,Gene
CHGA,,gene_id,Gene
PPAN-P2RY11,,gene_id,Gene
TAAR9,,gene_id,Gene
TAAR8,,gene_id,Gene
TAAR5,,gene_id,Gene
TAAR6,,gene_id,Gene
GCG,,gene_id,Gene
TAAR1,,gene_id,Gene
IAPP,,gene_id,Gene
ADM2,,gene_id,Gene
GPHB5,,gene_id,Gene
RAMP3,,gene_id,Gene
SCT,,gene_id,Gene
VIPR2,,gene_id,Gene
ADCY1,,gene_id,Gene
VIPR1,,gene_id,Gene
ADCY5,,gene_id,Gene
PTH2,,gene_id,Gene
ADCY4,,gene_id,Gene
ADCY2,,gene_id,Gene
PRKX,,gene_id,Gene
ADCY9,,gene_id,Gene
ADCY8,,gene_id,Gene
ADCY7,,gene_id,Gene
ADCY6,,gene_id,Gene
GNG2,,gene_id,Gene
CYSLTR2,,gene_id,Gene
GNG4,,gene_id,Gene
GNG3,,gene_id,Gene
GNAT3,,gene_id,Gene
GNG5,,gene_id,Gene
GNG8,,gene_id,Gene
GNG7,,gene_id,Gene
GPR150,,gene_id,Gene
NLRP3,,gene_id,Gene
PTGDR,,gene_id,Gene
PRKCA,,gene_id,Gene
CREB1,,gene_id,Gene
MC1R,,gene_id,Gene
GNB1,,gene_id,Gene
PRKAR1B,,gene_id,Gene
GNB3,,gene_id,Gene
PRKAR1A,,gene_id,Gene
GNB2,,gene_id,Gene
GNB5,,gene_id,Gene
RLN3,,gene_id,Gene
GNAS,,gene_id,Gene
GNB4,,gene_id,Gene
RLN2,,gene_id,Gene
GNAZ,,gene_id,Gene
CRHR1,,gene_id,Gene
CALCB,,gene_id,Gene
CALCRL,,gene_id,Gene
LHB,,gene_id,Gene
CALCA,,gene_id,Gene
GPR84,,gene_id,Gene
RXFP1,,gene_id,Gene
ADCYAP1R1,,gene_id,Gene
GPR83,,gene_id,Gene
HTR6,,gene_id,Gene
