~id,name:String,preferred_id:String,~label
R-HSA-164843,2-LTR Circle Formation,reactome/wiki_pathway,Pathway
R-HSA-1971475,GAG Synthesis Requires Tetrasaccharide Linker Sequence,reactome/wiki_pathway,Pathway
R-HSA-5619084,ABC Transporter Disorders,reactome/wiki_pathway,Pathway
R-HSA-1369062,ABC Transporters In Lipid Homeostasis,reactome/wiki_pathway,Pathway
R-HSA-382556,ABC-family Proteins Mediated Transport,reactome/wiki_pathway,Pathway
R-HSA-9660821,ADORA2B Mediated Anti-Inflammatory Cytokine Production,reactome/wiki_pathway,Pathway
R-HSA-418592,ADP Signaling Thru P2Y Purinoceptor 1,reactome/wiki_pathway,Pathway
R-HSA-392170,ADP Signaling Thru P2Y Purinoceptor 12,reactome/wiki_pathway,Pathway
R-HSA-198323,AKT Phosphorylates Targets In Cytosol,reactome/wiki_pathway,Pathway
R-HSA-198693,AKT Phosphorylates Targets In Nucleus,reactome/wiki_pathway,Pathway
R-HSA-9700645,ALK Mutants Bind TKIs,reactome/wiki_pathway,Pathway
R-HSA-163680,AMPK Inhibits chREBP Transcriptional Activity,reactome/wiki_pathway,Pathway
R-HSA-5467337,APC Truncation Mutants Have Impaired AXIN Binding,reactome/wiki_pathway,Pathway
R-HSA-179409,APC-Cdc20 Mediated Degradation Of Nek2A,reactome/wiki_pathway,Pathway
R-HSA-174143,APC/C-mediated Degradation Of Cell Cycle Proteins,reactome/wiki_pathway,Pathway
R-HSA-174048,APC/C:Cdc20 Mediated Degradation Of Cyclin B,reactome/wiki_pathway,Pathway
R-HSA-174154,APC/C:Cdc20 Mediated Degradation Of Securin,reactome/wiki_pathway,Pathway
R-HSA-176409,APC/C:Cdc20 Mediated Degradation Of Mitotic Proteins,reactome/wiki_pathway,Pathway
R-HSA-174178,APC/C:Cdh1 Mediated Degradation Of Cdc20 And APC/C:Cdh1 Targets In Late Mitosis/Early G1,reactome/wiki_pathway,Pathway
R-HSA-179419,APC:Cdc20 Mediated Degradation Of Cell Cycle Proteins Before Cycle Checkpoint Satisfied,reactome/wiki_pathway,Pathway
R-HSA-5649702,APEX1-Independent Resolution Of AP Sites Via Single Nucleotide Replacement Pathway,reactome/wiki_pathway,Pathway
R-HSA-180689,APOBEC3G Mediated Resistance To HIV-1,reactome/wiki_pathway,Pathway
R-HSA-170984,ARMS-mediated Activation,reactome/wiki_pathway,Pathway
R-HSA-380994,ATF4 Activates Genes In Response To Endoplasmic Reticulum Stress,reactome/wiki_pathway,Pathway
R-HSA-381183,ATF6 (ATF6-alpha) Activates Chaperone Genes,reactome/wiki_pathway,Pathway
R-HSA-381033,ATF6 (ATF6-alpha) Activates Chaperones,reactome/wiki_pathway,Pathway
R-HSA-450408,AUF1 (hnRNP D0) Binds And Destabilizes mRNA,reactome/wiki_pathway,Pathway
R-HSA-8854518,AURKA Activation By TPX2,reactome/wiki_pathway,Pathway
R-HSA-2161522,Abacavir ADME,reactome/wiki_pathway,Pathway
