~from,~id,association_type:String,data_source:String,source:String,~to,~label
CARD9,gene_disease_0,MENDELIAN,hpo,ftp://ftp.ncbi.nlm.nih.gov/gene/DATA/mim2gene_medgen,OMIM:212050,GeneToDiseaseAssociation
TBC1D7,gene_disease_1,MENDELIAN,hpo,ftp://ftp.ncbi.nlm.nih.gov/gene/DATA/mim2gene_medgen,OMIM:248000,GeneToDiseaseAssociation
IFT81,gene_disease_2,MENDELIAN,hpo,ftp://ftp.ncbi.nlm.nih.gov/gene/DATA/mim2gene_medgen,OMIM:617895,GeneToDiseaseAssociation
LZTR1,gene_disease_3,MENDELIAN,hpo,ftp://ftp.ncbi.nlm.nih.gov/gene/DATA/mim2gene_medgen,OMIM:616564,GeneToDiseaseAssociation
SLC1A1,gene_disease_4,POLYGENIC,hpo,ftp://ftp.ncbi.nlm.nih.gov/gene/DATA/mim2gene_medgen,OMIM:615232,GeneToDiseaseAssociation
RBP3,gene_disease_5,MENDELIAN,hpo,ftp://ftp.ncbi.nlm.nih.gov/gene/DATA/mim2gene_medgen,OMIM:615233,GeneToDiseaseAssociation
BBS2,gene_disease_6,MENDELIAN,hpo,ftp://ftp.ncbi.nlm.nih.gov/gene/DATA/mim2gene_medgen,OMIM:616562,GeneToDiseaseAssociation
NEK1,gene_disease_7,POLYGENIC,hpo,ftp://ftp.ncbi.nlm.nih.gov/gene/DATA/mim2gene_medgen,OMIM:617892,GeneToDiseaseAssociation
UFM1,gene_disease_8,MENDELIAN,hpo,ftp://ftp.ncbi.nlm.nih.gov/gene/DATA/mim2gene_medgen,OMIM:617899,GeneToDiseaseAssociation
GDF6,gene_disease_9,MENDELIAN,hpo,ftp://ftp.ncbi.nlm.nih.gov/gene/DATA/mim2gene_medgen,OMIM:617898,GeneToDiseaseAssociation
CLMP,gene_disease_10,MENDELIAN,hpo,ftp://ftp.ncbi.nlm.nih.gov/gene/DATA/mim2gene_medgen,OMIM:615237,GeneToDiseaseAssociation
RIPPLY2,gene_disease_11,MENDELIAN,hpo,ftp://ftp.ncbi.nlm.nih.gov/gene/DATA/mim2gene_medgen,OMIM:616566,GeneToDiseaseAssociation
STEAP3,gene_disease_12,MENDELIAN,hpo,ftp://ftp.ncbi.nlm.nih.gov/gene/DATA/mim2gene_medgen,OMIM:615234,GeneToDiseaseAssociation
LAMA4,gene_disease_13,MENDELIAN,hpo,ftp://ftp.ncbi.nlm.nih.gov/gene/DATA/mim2gene_medgen,OMIM:615235,GeneToDiseaseAssociation
CIDEC,gene_disease_14,MENDELIAN,hpo,ftp://ftp.ncbi.nlm.nih.gov/gene/DATA/mim2gene_medgen,OMIM:615238,GeneToDiseaseAssociation
TAP1,gene_disease_15,MENDELIAN,hpo,ftp://ftp.ncbi.nlm.nih.gov/gene/DATA/mim2gene_medgen,OMIM:604571,GeneToDiseaseAssociation
THRB,gene_disease_16,MENDELIAN,hpo,ftp://ftp.ncbi.nlm.nih.gov/gene/DATA/mim2gene_medgen,OMIM:274300,GeneToDiseaseAssociation
ABHD5,gene_disease_17,MENDELIAN,hpo,ftp://ftp.ncbi.nlm.nih.gov/gene/DATA/mim2gene_medgen,OMIM:275630,GeneToDiseaseAssociation
GLDC,gene_disease_18,MENDELIAN,hpo,ftp://ftp.ncbi.nlm.nih.gov/gene/DATA/mim2gene_medgen,OMIM:605899,GeneToDiseaseAssociation
GNAS-AS1,gene_disease_19,MENDELIAN,hpo,ftp://ftp.ncbi.nlm.nih.gov/gene/DATA/mim2gene_medgen,OMIM:603233,GeneToDiseaseAssociation
GNAS,gene_disease_20,MENDELIAN,hpo,ftp://ftp.ncbi.nlm.nih.gov/gene/DATA/mim2gene_medgen,OMIM:603233,GeneToDiseaseAssociation
STX16,gene_disease_21,MENDELIAN,hpo,ftp://ftp.ncbi.nlm.nih.gov/gene/DATA/mim2gene_medgen,OMIM:603233,GeneToDiseaseAssociation
CNGB3,gene_disease_22,MENDELIAN,hpo,ftp://ftp.ncbi.nlm.nih.gov/gene/DATA/mim2gene_medgen,OMIM:262300,GeneToDiseaseAssociation
ERCC5,gene_disease_23,MENDELIAN,hpo,ftp://ftp.ncbi.nlm.nih.gov/gene/DATA/mim2gene_medgen,OMIM:616570,GeneToDiseaseAssociation
ARHGDIA,gene_disease_24,MENDELIAN,hpo,ftp://ftp.ncbi.nlm.nih.gov/gene/DATA/mim2gene_medgen,OMIM:615244,GeneToDiseaseAssociation
FLCN,gene_disease_25,MENDELIAN,hpo,ftp://ftp.ncbi.nlm.nih.gov/gene/DATA/mim2gene_medgen,OMIM:173600,GeneToDiseaseAssociation
CHAMP1,gene_disease_26,MENDELIAN,hpo,ftp://ftp.ncbi.nlm.nih.gov/gene/DATA/mim2gene_medgen,OMIM:616579,GeneToDiseaseAssociation
MYPN,gene_disease_27,MENDELIAN,hpo,ftp://ftp.ncbi.nlm.nih.gov/gene/DATA/mim2gene_medgen,OMIM:615248,GeneToDiseaseAssociation
AFG2A,gene_disease_28,MENDELIAN,hpo,ftp://ftp.ncbi.nlm.nih.gov/gene/DATA/mim2gene_medgen,OMIM:616577,GeneToDiseaseAssociation
