~id,disease_name:String,preferred_id:String,~label
OMIM:619340,Developmental and epileptic encephalopathy 96,id,Disease
OMIM:609153,"Pseudohyperkalemia, familial, 2, due to red cell leak",id,Disease
OMIM:614102,Immunoglobulin kappa light chain deficiency,id,Disease
OMIM:619426,White-Kernohan syndrome,id,Disease
OMIM:610370,"Diarrhea 4, malabsorptive, congenital",id,Disease
OMIM:609621,Short QT syndrome 2,id,Disease
OMIM:212790,Premature centromere division,id,Disease
OMIM:612567,"Inflammatory bowel disease 25, early onset, autosomal recessive",id,Disease
OMIM:613679,Congenital prothrombin deficiency,id,Disease
OMIM:614116,"Neuropathy, hereditary sensory, type IE",id,Disease
OMIM:612201,"Atrial fibrillation, familial, 6",id,Disease
OMIM:137580,Gilles de la tourette syndrome,id,Disease
OMIM:619354,"Deafness, cataract, impaired intellectual development, and polyneuropathy",id,Disease
OMIM:117650,Cerebrocostomandibular syndrome,id,Disease
OMIM:616067,"46,xy sex reversal 9",id,Disease
OMIM:108770,Atrial standstill 1,id,Disease
OMIM:112700,"Brachydactyly, type A3",id,Disease
OMIM:612229,"Colorectal cancer, susceptibility to, 3",id,Disease
OMIM:614880,Hypogonadotropic hypogonadism 15 with or without anosmia,id,Disease
OMIM:615546,Van maldergem syndrome 2,id,Disease
OMIM:116200,"Cataract 1, multiple types",id,Disease
OMIM:607624,"Griscelli syndrome, type 2",id,Disease
OMIM:192100,"Uvula, bifid",id,Disease
OMIM:615220,"Osteogenesis imperfecta, type XV",id,Disease
OMIM:615234,"Anemia, hypochromic microcytic, with iron overload 2",id,Disease
OMIM:268000,Retinitis pigmentosa,id,Disease
OMIM:605027,"Lymphoma, non-hodgkin, familial",id,Disease
OMIM:225100,Ectopia lentis,id,Disease
OMIM:204870,"Corneal dystrophy, gelatinous drop-like",id,Disease
OMIM:608265,"Deafness, congenital neurosensory, autosomal recessive 39",id,Disease
OMIM:618076,Neurodevelopmental disorder with spasticity and poor growth,id,Disease
OMIM:613123,Brugada syndrome 8,id,Disease
OMIM:256850,"Giant axonal neuropathy 1, autosomal recessive",id,Disease
OMIM:221400,"Deafness, nerve type, with mesenteric diverticula of small bowel andprogressive sensory neuropathy",id,Disease
OMIM:615552,"Episodic pain syndrome, familial, 3",id,Disease
OMIM:191390,Inflammatory bowel disease 11,id,Disease
OMIM:246470,"Leukemia, acute myelocytic, with polyposis coli and colon cancer",id,Disease
OMIM:263800,Gitelman syndrome,id,Disease
OMIM:214450,"Griscelli syndrome, type 1",id,Disease
OMIM:611907,"Episodic ataxia, type 7",id,Disease
