~id,preferred_id:String,~label
FGF20,id,Gene
GFRA1,id,Gene
TCTN2,id,Gene
ROBO1,id,Gene
ITGA8,id,Gene
UBAP2L,id,Gene
ZSWIM6,id,Gene
BMPER,id,Gene
COL11A1,id,Gene
CARD9,id,Gene
UNC13D,id,Gene
CEBPE,id,Gene
SOHLH1,id,Gene
SERPINA1,id,Gene
SELENBP1,id,Gene
ESR2,id,Gene
KCNA5,id,Gene
KCNE1,id,Gene
KASH5,id,Gene
NRCAM,id,Gene
ERCC6L2,id,Gene
SMN1,id,Gene
SMN2,id,Gene
TLR7,id,Gene
LMNA,id,Gene
COL2A1,id,Gene
HCN4,id,Gene
EIF2AK2,id,Gene
PMP2,id,Gene
LHB,id,Gene
TTN,id,Gene
INS,id,Gene
REEP6,id,Gene
REEP1,id,Gene
CNNM2,id,Gene
POPDC1,id,Gene
RNF216,id,Gene
DGKE,id,Gene
GYG1,id,Gene
PRRT2,id,Gene
RRAGD,id,Gene
SLC4A4,id,Gene
PRKN,id,Gene
TOR1AIP1,id,Gene
STAT1,id,Gene
PRKRA,id,Gene
HGSNAT,id,Gene
PIK3R5,id,Gene
KCNJ2,id,Gene
SPTLC1,id,Gene
TLR8,id,Gene
HTRA1,id,Gene
DNAJC3,id,Gene
WNT4,id,Gene
TWNK,id,Gene
POLG,id,Gene
B2M,id,Gene
LIG3,id,Gene
KCTD17,id,Gene
KCNJ5,id,Gene
B4GALNT1,id,Gene
ALG10B,id,Gene
KCNH2,id,Gene
TPP1,id,Gene
SEMA3A,id,Gene
HROB,id,Gene
SCARB2,id,Gene
SNTA1,id,Gene
TRNT1,id,Gene
CLCN1,id,Gene
GPIHBP1,id,Gene
P2RX2,id,Gene
DSP,id,Gene
SOST,id,Gene
CHRNA1,id,Gene
ENG,id,Gene
GATA2,id,Gene
SLC22A12,id,Gene
ATP6AP2,id,Gene
C14orf39,id,Gene
SLC12A5,id,Gene
SYNJ1,id,Gene
JAK2,id,Gene
FIG4,id,Gene
RNASEH1,id,Gene
KCNJ11,id,Gene
SCN4A,id,Gene
TP53,id,Gene
NDUFS2,id,Gene
GRN,id,Gene
ATP7B,id,Gene
YARS1,id,Gene
CACNB4,id,Gene
H6PD,id,Gene
PSEN1,id,Gene
MAPT,id,Gene
CSF1R,id,Gene
ATXN3,id,Gene
LBR,id,Gene
CLCN2,id,Gene
XRCC1,id,Gene
PSEN2,id,Gene
MME,id,Gene
CYP27A1,id,Gene
GDAP2,id,Gene
ANXA11,id,Gene
MYH7,id,Gene
VCP,id,Gene
RAX2,id,Gene
HSPB1,id,Gene
NAGA,id,Gene
DNM1L,id,Gene
CAV3,id,Gene
TMEM126B,id,Gene
PRNP,id,Gene
MFSD8,id,Gene
VAPB,id,Gene
SCN3B,id,Gene
EPCAM,id,Gene
CFH,id,Gene
GFAP,id,Gene
POLG2,id,Gene
CHCHD10,id,Gene
CHRNA2,id,Gene
PRPH2,id,Gene
SAMD9L,id,Gene
PTEN,id,Gene
LRP12,id,Gene
ADD3,id,Gene
ZMPSTE24,id,Gene
GGPS1,id,Gene
CRYAB,id,Gene
VMA21,id,Gene
LAMP2,id,Gene
KIF21A,id,Gene
TUBB2B,id,Gene
TUBA1A,id,Gene
PHOX2A,id,Gene
TUBB3,id,Gene
COL25A1,id,Gene
HBB,id,Gene
ACVRL1,id,Gene
NOTCH3,id,Gene
SLC2A10,id,Gene
SON,id,Gene
GUCY1A1,id,Gene
SCN5A,id,Gene
NPPA,id,Gene
